KO,Control_1,Control_2,Control_3,Control_4,Control_5,SO4_1,SO4_2,SO4_3,SO4_4,SO4_5,ASW_1,ASW_2,ASW_3,ASW_4,ASW_5,ASW_S_2,ASW_S_4,ASW_S_5,SourceSoil_1,SourceSoil_2,SourceSoil_3,SourceSoil_4,SourceSoil_5,Fxn
K09041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"nuclear factor erythroid 2, invertebrate"
K09042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,transcription regulator BACH
K09043,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fungal AP-1-like factor
K09044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,activating transcription factor 5
K09045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,activating transcription factor 7
K09047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cyclic AMP-responsive element-binding protein 5
K09048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cyclic AMP-responsive element-binding protein 3
K09049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cyclic AMP-dependent transcription factor ATF-6 beta
K09050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"cAMP response element-binding protein, invertebrate"
K09051,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ATF/CREB family transcription factor
K09052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cAMP response element modulator
K09053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,activating transcription factor 1
K09054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cyclic AMP-dependent transcription factor ATF-6 alpha
K09055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CCAAT/enhancer binding protein (C/EBP), alpha"
K09056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,albumin D box-binding protein
K09057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,hepatic leukemia factor
K09058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,thyrotrophic embryonic factor
K09059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"nuclear factor, interleukin 3 regulated"
K09060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,plant G-box-binding factor
K09061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GC-rich sequence DNA-binding factor
K09062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"bZIP factor, other"
K09063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,transcription factor E2-alpha
K09064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,myogenic factor 3
K09065,91,98,168,79,114,95,295,100,199,115,116,93,169,178,107,109,169,328,215,144,159,159,172,N-acetylornithine carbamoyltransferase [EC:2.1.3.9]
K09066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,factor in the germline alpha
K09067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,achaete-scute complex protein
K09068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,T-cell acute lymphocytic leukemia protein
K09069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,twist
K09070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,transcription factor 15
K09071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,heart-and neural crest derivatives-expressed protein 1
K09072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,musculin (activated B-cell factor-1)
K09073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,pancreas-specific transcription factor 1a
K09074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fungal twist-like factor
K09075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nescient helix-loop-helix protein
K09076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mesoderm posterior
K09077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mesogenin 1
K09078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,neurogenic differentiation factor 2
K09079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,neurogenic differentiation factor 4
K09080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,neurogenic differentiation factor 6
K09081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,neurogenin 1
K09082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,neurogenin 2
K09083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,atonal protein 1/7
K09084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,atonal protein 8
K09085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,class B basic helix-loop-helix protein 1/6/7
K09086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,class B basic helix-loop-helix protein 4/5
K09087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,hairy and enhancer of split 2/6/7
K09088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,hairy and enhancer of split 3
K09089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,hairy and enhancer of split 4
K09090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"hairy and enhancer of split, invertebrate"
K09091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,hairy and enhancer of split related with YRPW motif
K09092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,transcription factor-like 5
K09093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,aryl hydrocarbon receptor
K09094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,aryl hydrocarbon receptor repressor
K09095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,hypoxia-inducible factor 2 alpha
K09096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,hypoxia-inducible factor 3 alpha
K09097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,aryl hydrocarbon receptor nuclear translocator
K09098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,neuronal PAS domain-containing protein 1/3
K09099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,aryl hydrocarbon receptor nuclear translocator-like protein 2
K09100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,single-minded
K09101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nuclear receptor coactivator 1 [EC:2.3.1.48]
K09102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,heteromeric Ino2p/Ino4p transcription factor
K09103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,early B-cell factor
K09104,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,"bHLH factor, other"
K09105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,transcription factor E3
K09106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,upstream stimulatory factor
K09107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,sterol regulatory element-binding transcription factor 2
K09108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,transcription factor AP-4
K09109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N-myc proto-oncogene protein
K09110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,L-myc proto-oncogene protein
K09111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,brain expressed myelocytomatosis oncogene
K09112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,myc-like oncogene
K09113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MAX-like protein X
K09114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MAX dimerization protein
K09115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MAX-binding protein
K09116,12,0,62,6,4,22,37,36,24,9,28,47,42,9,188,113,49,16,5,3,4,5,7,uncharacterized protein
K09117,811,686,862,963,1118,912,2098,1025,1600,574,665,626,906,1252,991,458,778,839,1040,729,679,783,901,uncharacterized protein
K09118,2543,2298,2115,2825,2430,2773,5024,2961,4230,1198,1429,748,2166,1271,2449,989,1510,2064,1750,1319,1254,1210,1672,uncharacterized protein
K09119,0,0,40,0,2,21,26,27,29,0,24,8,35,10,86,83,26,37,0,0,0,0,0,KEOPS complex subunit Cgi121
K09120,78,25,182,150,92,42,201,105,105,37,38,31,90,18,217,134,73,259,85,42,62,52,73,uncharacterized protein
K09121,869,720,1108,1081,992,1146,2339,1192,1858,455,569,474,978,572,1212,575,632,707,922,548,602,614,817,uncharacterized protein
K09122,516,354,813,635,741,545,1422,791,1100,191,496,707,786,222,691,485,576,719,245,175,175,174,229,uncharacterized protein
K09123,273,166,674,442,317,287,718,523,514,218,308,273,399,297,596,568,309,787,320,306,289,255,292,uncharacterized protein
K09124,7,10,20,11,17,7,31,19,45,0,31,73,24,13,5,34,47,15,0,0,2,0,0,uncharacterized protein
K09125,91,86,74,84,132,111,285,119,194,64,113,23,168,283,183,75,101,170,240,157,195,189,169,uncharacterized protein
K09126,19,0,138,19,4,18,61,68,91,8,37,21,45,13,133,209,48,64,9,8,0,5,11,uncharacterized protein
K09127,0,2,15,0,14,0,7,0,0,0,5,2,9,3,9,10,7,3,0,2,2,0,0,CRISPR-associated protein Cmr3
K09128,152,104,354,194,197,139,364,275,306,115,165,153,231,134,282,356,178,415,162,131,179,105,123,uncharacterized protein
K09129,776,696,919,756,810,848,2171,961,1581,306,610,766,923,339,735,457,772,786,240,192,188,216,269,uncharacterized protein
K09130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,uncharacterized protein
K09131,496,483,660,667,789,646,1536,741,1193,329,496,421,710,582,742,355,542,726,679,411,388,433,530,uncharacterized protein
K09132,0,0,7,0,2,2,6,3,9,2,3,6,5,2,16,25,14,12,0,9,2,0,2,uncharacterized protein
K09133,0,0,5,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,4,3,2,0,7,uncharacterized protein
K09134,1325,1227,1485,1620,1729,1670,3820,1871,2953,700,838,796,1331,979,1443,735,974,1499,1411,1002,961,1004,1194,uncharacterized protein
K09135,0,0,32,0,0,5,6,8,16,0,17,0,14,2,76,61,18,12,0,0,0,0,0,uncharacterized protein
K09136,312,396,230,348,454,389,707,366,508,257,250,154,360,409,351,247,246,390,189,234,198,151,187,ribosomal protein S12 methylthiotransferase accessory factor
K09137,548,598,431,652,889,755,1530,616,1178,279,306,265,519,430,881,186,277,469,721,469,466,607,617,uncharacterized protein
K09138,7,0,45,9,0,0,14,8,33,4,0,0,7,6,117,0,10,6,3,0,0,2,12,uncharacterized protein
K09139,5,0,35,0,0,5,8,26,10,0,33,11,8,9,20,58,20,28,0,0,0,0,0,uncharacterized protein
K09140,63,29,326,174,58,57,226,205,157,27,72,33,125,5,279,286,94,327,98,53,60,58,86,pre-rRNA-processing protein TSR3
K09141,525,319,796,708,518,636,1424,775,1041,148,229,144,421,123,605,369,281,616,360,214,214,302,373,uncharacterized protein
K09142,79,24,330,135,77,56,195,157,114,22,61,39,79,17,133,226,64,226,111,77,89,82,78,uncharacterized protein
K09143,87,77,224,118,140,81,259,139,237,54,49,37,93,62,80,58,48,170,218,165,166,144,163,uncharacterized protein
K09144,59,55,133,76,110,65,180,98,136,32,32,7,75,40,89,30,44,46,28,12,10,5,12,uncharacterized protein
K09145,2,0,0,2,0,0,2,0,0,4,2,0,2,12,8,0,3,8,7,10,0,0,3,uncharacterized protein
K09146,0,7,3,0,2,4,9,0,0,4,6,3,9,10,0,3,6,8,0,0,0,0,2,uncharacterized protein
K09147,33,8,68,76,27,28,92,72,22,8,22,16,65,0,60,80,29,247,0,0,7,5,6,uncharacterized protein
K09148,86,27,295,162,101,59,208,182,126,25,28,13,121,6,186,196,64,373,88,39,77,63,47,uncharacterized protein
K09149,3,0,0,0,0,0,0,0,0,3,0,0,0,3,11,0,0,0,0,0,0,0,0,uncharacterized protein
K09150,9,0,76,3,2,2,10,9,23,0,39,15,33,17,263,72,63,21,0,0,0,0,0,uncharacterized protein
K09152,93,36,312,160,113,89,184,199,143,34,43,22,118,6,284,273,87,341,116,60,79,72,79,uncharacterized protein
K09153,20,53,52,43,89,66,124,59,112,74,58,54,95,236,73,35,53,26,138,119,86,98,79,uncharacterized protein
K09154,64,61,55,31,87,67,147,66,104,55,49,25,59,99,99,90,76,94,68,82,61,50,49,uncharacterized protein
K09155,99,74,75,126,63,117,269,121,185,14,38,29,86,12,102,31,58,24,32,20,18,23,56,uncharacterized protein
K09156,0,0,0,0,0,0,0,0,0,0,4,0,18,0,69,0,15,0,0,0,0,0,0,uncharacterized protein
K09157,377,362,512,521,353,544,1102,563,835,135,283,110,354,148,412,280,292,192,318,179,197,254,313,uncharacterized protein
K09158,12,3,5,4,27,22,32,17,27,18,4,2,3,37,26,0,1,116,91,41,32,74,71,uncharacterized protein
K09159,115,106,66,101,137,116,214,116,217,86,38,41,48,162,106,15,72,279,159,160,117,160,196,antitoxin CptB
K09160,57,110,43,90,128,95,161,69,133,99,36,10,44,147,22,17,59,110,118,100,101,75,87,uncharacterized protein
K09161,19,32,19,10,15,33,84,20,62,20,0,8,14,7,12,7,8,13,2,9,4,0,3,uncharacterized protein
K09162,659,564,741,722,962,763,1486,859,1270,570,594,616,993,973,649,488,702,719,712,611,537,523,657,chlorite dismutase [EC:1.13.11.49]
K09163,12,5,36,25,12,8,61,12,19,86,16,44,84,206,114,72,82,36,108,132,142,119,105,uncharacterized protein
K09164,461,325,661,513,572,512,1238,687,947,276,462,503,763,576,575,481,552,752,433,274,286,306,354,uncharacterized protein
K09165,824,720,646,750,1129,792,2154,876,1707,700,1088,1552,1501,729,502,880,1482,1300,532,478,371,326,426,uncharacterized protein
K09166,158,178,149,193,218,190,480,214,354,125,124,66,195,207,323,88,90,134,377,230,191,212,359,uncharacterized protein
K09167,8,2,7,7,51,2,49,20,41,31,21,52,97,283,20,53,46,61,13,38,5,14,20,uncharacterized protein
K09168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nuclear factor I/A
K09169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nuclear factor I/B
K09170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nuclear factor I/C
K09171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nuclear factor I/X
K09172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"nuclear factor I, invertebrate"
K09173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,regulatory factor X 1/2/3
K09174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,regulatory factor X 4
K09175,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"regulatory factor X, other"
K09176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,transcription factor AP-2 alpha/beta
K09177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,transcription factor AP-2 gamma
K09178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,transcription factor AP-2 delta
K09179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,transcription factor AP-2 epsilon
K09180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"transcription factor AP-2, invertebrate"
K09181,3028,2360,3803,3729,3412,3324,7373,4162,5201,1590,1960,1704,3227,2137,2952,2254,2638,3928,2570,2109,2117,2055,2452,acetyltransferase
K09182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GATA-binding protein 1
K09183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GATA-binding protein 4
K09184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,"GATA-binding protein, other eukaryote"
K09185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nuclear receptor subfamily 6 group A
K09186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,histone-lysine N-methyltransferase MLL1 [EC:2.1.1.43]
K09187,0,0,0,0,0,0,0,0,0,0,0,4,2,9,0,0,0,3,0,0,2,0,0,histone-lysine N-methyltransferase MLL2 [EC:2.1.1.43]
K09188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,histone-lysine N-methyltransferase MLL3 [EC:2.1.1.43]
K09189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,histone-lysine N-methyltransferase MLL5 [EC:2.1.1.43]
K09190,0,8,0,3,15,4,0,0,0,0,7,0,4,57,5,0,0,0,4,2,3,0,3,uncharacterized protein
K09191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,general transcription factor IIIA
K09192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,transcription factor Sp2
K09193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,transcription factor Sp3
K09194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,transcription factor Sp4
K09195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,transcription factor Sp5
K09196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,transcription factor Sp6
K09197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,transcription factor Sp7
K09198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,transcription factor Sp8
K09199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,transcription factor Sp9
K09200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"transcription factor Sp, invertebrate"
K09201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,transcription factor YY
K09202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,regulatory protein SWI5
K09203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,early growth response protein 1
K09204,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,krueppel-like factor 1
K09205,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,krueppel-like factor 8/12
K09206,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,krueppel-like factor 5
K09207,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,krueppel-like factor 6/7
K09208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,krueppel-like factor 9/13/14/16
K09209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,krueppel-like factor 10/11
K09210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,2,krueppel-like factor 15
K09211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,krueppel-like factor 17
K09212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"krueppel-like factor, other"
K09213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,hunchback
K09214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,glass
K09215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,odd-skipped
K09216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ovo
K09217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,snail 3
K09218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"snail, invertebrate"
K09219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,scratch
K09220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IKAROS family zinc finger protein
K09221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,myeloid zinc finger protein 1
K09222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RE1-silencing transcription factor
K09223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,growth factor independent 1
K09224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,zinc finger protein ZIC 1
K09225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,zinc finger protein ZIC 4
K09226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,zinc finger protein ZIC 5
K09227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"zinc finger protein ZIC, invertebrate"
K09228,2,4,13,1,0,3,7,1,0,9,1,2,1,0,3,0,2,0,40,25,8,32,25,KRAB domain-containing zinc finger protein
K09229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KRAB and SCAN domains-containing zinc finger protein
K09230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SCAN domain-containing zinc finger protein
K09231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"krueppel-like family, other"
K09232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,zinc finger protein GLIS1/3
K09233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,zinc finger protein GLIS2
K09234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wilms tumor protein 1
K09235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,zinc finger protein RME1
K09236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,teashirt
K09237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tramtrack
K09238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,metallothionein expression activator
K09239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,human immunodeficiency virus type I enhancer-binding protein
K09240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,transcriptional regulatory protein CAT8
K09241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,transcriptional regulatory protein GAL4
K09242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,transcriptional regulatory protein LEU3
K09243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,transcriptional regulatory protein UME6
K09244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,transcriptional regulatory protein AMDR
K09245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,transcriptional activator protein UGA3
K09246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,arginine metabolism regulation protein II
K09247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,heme activator protein 1
K09248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,proline utilization trans-activator
K09249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ARS-binding factor 1
K09250,0,3,7,0,0,0,0,0,0,0,2,0,0,8,0,0,0,0,0,0,0,0,0,cellular nucleic acid-binding protein
K09251,137,108,62,93,279,127,324,115,236,212,356,481,423,319,115,212,353,269,129,126,111,89,112,putrescine aminotransferase [EC:2.6.1.82]
K09252,1418,1524,1258,1868,2056,1823,3651,1701,2718,805,1096,626,1471,803,2491,464,854,853,1568,1132,948,1187,1379,feruloyl esterase [EC:3.1.1.73]
K09253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,transcription factor RelB
K09254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c-Rel proto-oncogene protein
K09255,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,"Rel/ankyrin family, other"
K09256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NF-kappa-B inhibitor-like protein 1
K09257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NF-kappa-B inhibitor-like protein 2
K09258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B-cell CLL/lymphoma protein 3
K09259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ankyrin only family, other"
