KO	R2A_A_D1	R2A_A_D2	R2A_B_D1	R2A_B_D2	R2A_C_D1	R2A_C_D2	SF2_A_D1	SF2_A_D2	SF2_B_D1	SF2_B_D2	SF2_C_D1	SF2_C_D2	R1_A_D1	R1_A_D2	R1_B_D1	R1_B_D2	R1_C_D1	R1_C_D2	R2_A_D1	R2_A_D2	R2_B_D1	R2_B_D2	R2_C_D1	R2_C_D2	Fxn
K06700	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	proteasome inhibitor subunit 1 (PI31)
K06704	0	0	1	0	0	0	1	0	0	0	1	0	11	22	0	13	0	0	0	0	0	0	22	0	disintegrin and metalloproteinase domain-containing protein 10 [EC:3.4.24.81]
K06709	1	1	3	0	1	0	2	3	0	1	1	0	0	0	0	1	2	0	11	2	0	1	0	0	jumonji domain-containing protein 2 [EC:1.14.11.-]
K06711	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	hypoxia-inducible factor prolyl 4-hydroxylase [EC:1.14.11.-]
K06714	109	70	73	111	74	104	163	186	177	205	181	188	2296	2591	905	1295	488	454	87	166	546	1152	465	609	arginine utilization regulatory protein
K06718	254	312	252	246	354	593	32	122	55	62	55	233	547	491	626	631	453	410	30	108	424	822	548	234	"L-2,4-diaminobutyric acid acetyltransferase [EC:2.3.1.178]"
K06720	275	390	256	260	407	530	52	136	66	100	64	246	627	539	656	674	444	472	9	86	450	866	523	239	L-ectoine synthase [EC:4.2.1.108]
K06721	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	C-type lectin domain family 10 member A
K06724	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	neuropilin 1
K06726	49	23	51	45	34	80	67	73	63	80	76	75	224	234	193	183	93	85	7	39	113	215	161	198	D-ribose pyranase [EC:5.4.99.62]
K06736	0	0	1	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	"cadherin 2, type 1, N-cadherin"
K06754	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"roundabout, axon guidance receptor 2"
K06758	34	50	36	37	44	37	71	56	48	30	59	24	10	18	46	65	24	0	0	37	41	90	30	35	L1 cell adhesion molecule like protein
K06766	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	neogenin
K06767	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Down syndrome cell adhesion molecule
K06768	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	Down syndrome cell adhesion molecule-like protein 1
K06769	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	intercellular adhesion molecule 5
K06774	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	neurotrimin
K06775	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	neuronal growth regulator 1
K06776	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	receptor-type tyrosine-protein phosphatase kappa [EC:3.1.3.48]
K06779	3	0	0	1	2	0	2	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	mucosal vascular addressin cell adhesion molecule 1
K06784	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"roundabout, axon guidance receptor 4"
K06787	3	3	1	1	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	endothelial cell adhesion molecule
K06788	55	49	44	24	40	20	84	119	104	63	73	21	37	39	52	79	24	33	0	5	16	59	30	23	coxsackievirus and adenovirus receptor
K06792	0	1	3	6	1	1	1	1	0	0	0	1	0	1	0	1	0	1	6	1	0	1	2	2	aggrecan 1
K06793	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	versican core protein
K06794	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	neurocan core protein
K06795	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	brevican
K06798	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"cadherin 6, type 2, K-cadherin"
K06809	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"cadherin 15, M-cadherin"
K06816	35	21	23	8	2	0	29	56	42	34	34	9	0	5	6	21	1	10	1	10	0	72	5	32	golgi apparatus protein 1
K06818	0	3	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	podocalyxin-like 2
K06819	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	neuropilin 2
K06820	0	0	0	1	1	0	1	0	1	0	2	0	0	0	2	0	0	0	0	0	1	0	1	0	plexin A
K06821	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	plexin B
K06823	0	0	0	0	0	0	0	0	0	0	1	0	0	0	6	0	0	0	0	4	0	0	0	0	"collagen, type XVIII, alpha"
K06825	5	6	6	2	5	3	5	4	3	2	1	0	1	0	1	1	0	0	0	0	3	4	0	1	fibrillin 1
K06826	2	6	1	4	3	1	8	2	4	1	1	0	0	0	0	0	0	0	0	1	3	1	0	1	nidogen (entactin)
K06835	1	2	0	0	1	0	0	1	3	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	disintegrin and metalloproteinase domain-containing protein 12 [EC:3.4.24.-]
K06836	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	disintegrin and metalloproteinase domain-containing protein 15 [EC:3.4.24.-]
K06838	0	0	0	0	0	0	1	0	2	0	2	0	0	0	0	0	0	0	0	0	0	1	1	0	slit 1
K06839	0	1	1	2	0	1	1	2	0	0	2	0	0	1	0	0	0	0	0	0	0	1	0	0	slit 2
K06842	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	semaphorin 6
K06850	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	slit 3
K06857	566	490	506	349	508	451	607	713	767	801	692	585	979	853	1141	1125	759	642	28	2212	754	1444	822	516	tungstate transport system ATP-binding protein [EC:3.6.3.55]
K06858	26	19	32	26	69	232	21	10	30	15	31	30	2	8	7	6	6	6	6	5	9	9	7	9	vitamin B12 transport system substrate-binding protein
K06859	40	17	18	67	24	106	64	124	78	69	92	110	99	78	43	78	52	25	2	20	55	99	47	49	"glucose-6-phosphate isomerase, archaeal [EC:5.3.1.9]"
K06860	1264	1189	1036	653	1028	637	406	528	443	465	434	424	567	502	597	573	443	255	37	737	500	1073	476	337	uncharacterized protein
K06861	1673	1518	1329	1413	1549	1899	1426	1681	1716	1600	1589	1438	2632	2560	2515	2799	1682	1350	32	553	1802	3089	2008	1422	lipopolysaccharide export system ATP-binding protein [EC:3.6.3.-]
K06862	19	31	27	60	58	58	5	8	7	3	7	8	3	4	1	4	1	0	0	2	4	4	1	4	energy-converting hydrogenase B subunit Q
K06863	57	215	105	128	76	71	82	118	113	120	127	145	57	74	38	43	40	54	4	140	93	146	40	28	5-formaminoimidazole-4-carboxamide-1-(beta)-D-ribofuranosyl 5'-monophosphate synthetase [EC:6.3.4.23]
K06864	645	761	689	838	736	848	946	1128	1176	1298	1106	1079	568	487	829	486	486	424	43	3190	710	1060	553	507	uncharacterized protein
K06865	37	176	75	83	69	74	57	81	205	410	78	388	363	246	607	185	485	556	23	6001	569	683	248	233	ATPase
K06866	0	0	1	0	0	2	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	autonomous glycyl radical cofactor
K06867	719	969	809	674	778	556	711	780	777	754	767	535	317	299	413	365	291	250	390	145	409	542	486	349	uncharacterized protein
K06868	0	0	0	3	0	1	4	27	8	12	7	3	29	29	16	23	11	12	2	16	15	27	9	2	Sep-tRNA:Cys-tRNA synthetase [EC:2.5.1.73]
K06869	54	242	98	105	136	62	29	69	170	511	57	484	380	180	567	182	447	345	16	3693	489	588	203	140	uncharacterized protein
K06870	3	8	12	11	24	25	12	12	10	5	10	5	24	15	7	22	11	16	1	38	24	18	14	7	uncharacterized protein
K06871	666	708	631	1082	787	1092	1179	1576	1397	1461	1466	1376	1161	1319	807	847	511	302	159	327	911	1334	683	757	uncharacterized protein
K06872	608	480	450	502	509	824	498	641	669	713	669	707	616	548	550	573	358	235	95	120	437	684	592	407	uncharacterized protein
K06873	315	200	233	209	245	336	350	341	648	588	400	481	307	197	587	260	413	300	14	4299	452	688	342	281	uncharacterized protein
K06874	2	3	2	12	0	7	15	9	12	3	11	4	27	28	10	16	17	4	7	7	26	25	24	8	zinc finger protein
K06875	17	93	26	41	24	21	19	40	62	158	23	171	147	58	196	60	158	197	0	1916	157	226	67	54	programmed cell death protein 5
K06876	1668	543	826	175	233	122	1268	1496	1322	1253	1183	730	3096	2924	3212	3119	2299	1946	75	6749	2216	3896	2589	1627	deoxyribodipyrimidine photolyase-related protein
K06877	1977	2272	1814	1994	1710	1821	2173	2746	2901	3101	2678	2811	2243	1616	2470	1835	1851	1046	184	9252	2503	3520	2002	1515	DEAD/DEAH box helicase domain-containing protein
K06878	606	490	417	262	401	392	351	449	429	448	312	354	755	707	875	837	524	539	6	286	573	1347	684	381	tRNA-binding protein
K06879	261	204	169	110	171	121	338	304	355	300	228	135	199	200	148	120	132	70	4	34	179	194	238	68	7-cyano-7-deazaguanine reductase [EC:1.7.1.13]
K06880	127	130	88	50	98	36	79	111	138	162	105	85	315	301	262	263	176	114	23	104	150	157	126	74	erythromycin esterase [EC:3.1.1.-]
K06881	1256	951	919	1038	1003	1506	1165	1369	1529	1511	1392	1426	1865	2122	1525	1626	1144	813	130	472	1348	2124	1298	1076	bifunctional oligoribonuclease and PAP phosphatase NrnA [EC:3.1.3.7 3.1.13.3]
K06882	8	3	8	2	6	5	7	33	33	30	42	15	6	5	1	2	0	0	6	2	2	7	5	0	uncharacterized protein
K06883	1499	1708	1484	1194	1179	1142	1991	2188	2036	2079	2050	1268	737	610	950	1039	745	646	62	3411	821	1267	688	503	uncharacterized protein
K06884	5	15	5	13	6	13	0	1	0	4	2	17	11	16	20	19	9	21	10	3	16	60	7	13	uncharacterized protein
K06885	851	941	777	743	681	718	421	639	714	928	589	1038	1500	1502	1503	1230	1155	967	90	7546	1272	1654	1040	707	uncharacterized protein
K06886	1134	978	706	486	815	1315	376	610	502	470	483	463	962	678	973	814	668	687	18	537	725	1439	674	422	hemoglobin
K06887	3	3	4	2	2	2	4	2	3	4	4	5	0	0	1	1	1	0	0	1	2	1	4	4	uncharacterized protein
K06888	4203	4461	4023	3630	4182	3863	3494	4380	4176	4349	3948	4007	4128	4058	4146	3697	3157	2558	201	11083	3204	4530	3177	1888	uncharacterized protein
K06889	3595	3069	2733	2277	2832	2969	2868	3598	3590	3393	3134	2601	4308	4457	3994	4355	3177	2416	527	988	2994	4758	3155	2118	uncharacterized protein
K06890	1100	1175	1060	734	1024	799	604	760	773	670	723	642	629	625	934	933	595	510	28	593	745	1467	866	536	uncharacterized protein
K06891	1120	955	810	668	880	1152	758	934	866	796	765	683	1341	1302	1413	1444	932	954	74	347	908	1960	1246	748	ATP-dependent Clp protease adaptor protein ClpS
K06892	0	2	2	3	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	feruloyl-CoA ortho-hydroxylase [EC:1.14.11.-]
K06893	536	456	389	251	320	349	322	353	368	381	259	203	512	491	498	542	434	355	40	358	328	618	415	246	uncharacterized protein
K06894	3938	4000	3586	2893	3424	3332	3084	3632	3351	3281	3474	2678	1776	1782	2300	1842	1372	728	98	648	2161	2700	2311	1388	uncharacterized protein
K06895	257	152	163	88	120	145	143	136	182	147	141	87	399	473	727	774	368	369	10	1106	320	1047	467	261	L-lysine exporter family protein LysE/ArgO
K06896	14	16	2	8	6	0	32	18	18	11	18	9	1	1	10	3	0	0	3	0	5	19	8	9	maltose 6'-phosphate phosphatase [EC:3.1.3.90]
K06897	506	353	309	541	389	626	988	1334	1658	1581	1371	1269	2331	2584	1830	2132	1041	769	205	834	1346	2772	1091	1223	"7,8-dihydropterin-6-yl-methyl-4-(beta-D-ribofuranosyl)aminobenzene 5'-phosphate synthase [EC:2.5.1.105]"
K06898	622	654	580	729	677	799	744	960	1141	1090	901	956	503	380	673	363	424	376	44	2717	629	943	496	421	uncharacterized protein
K06899	33	11	21	6	8	14	4	5	3	1	14	11	139	110	54	63	53	38	1	12	59	28	102	11	nucleoid-associated protein
K06900	101	120	89	87	76	108	58	81	56	101	50	79	68	66	68	86	86	48	7	18	100	155	86	54	uncharacterized protein
K06901	736	829	785	905	870	1013	720	827	865	1001	860	1070	1374	1082	1311	960	1053	684	72	5593	1272	1782	1081	904	"putative MFS transporter, AGZA family, xanthine/uracil permease"
K06902	2362	1982	1859	1382	1942	1960	1719	2018	2012	2043	1888	1717	3239	2715	2990	3061	1856	1806	66	612	1923	3496	2476	1286	"MFS transporter, UMF1 family"
K06903	261	371	257	204	240	299	136	154	158	147	170	190	200	215	312	149	223	163	56	272	264	350	262	167	uncharacterized protein
K06904	249	310	213	194	250	256	173	182	217	177	149	151	612	651	878	737	722	534	1117	301	595	1301	828	413	uncharacterized protein
K06905	55	77	53	62	55	55	46	39	63	78	59	88	60	35	183	36	73	75	4	257	82	121	31	40	uncharacterized protein
K06906	3	8	5	7	1	19	2	4	2	2	11	3	10	7	13	8	5	0	0	3	8	17	5	3	uncharacterized protein
K06907	1264	1496	1240	825	1020	909	973	914	867	832	881	788	703	561	930	575	740	492	182	627	897	1049	853	420	uncharacterized protein
K06908	7	12	4	8	13	26	5	5	3	6	4	20	21	17	18	25	9	5	0	5	20	27	31	10	uncharacterized protein
K06909	302	434	277	362	356	573	441	382	540	579	438	448	1155	1321	681	947	1223	159	243	1026	1090	1550	1192	1863	phage terminase large subunit
K06910	577	534	421	845	847	1288	530	946	732	1018	675	1422	1491	1183	1726	1540	1089	943	81	1471	1210	2539	1306	810	uncharacterized protein
K06911	3695	3273	3060	2307	2806	3067	2182	2907	2666	2467	2406	2256	2895	3150	2904	2839	1866	1736	69	1683	2105	3797	2383	1507	uncharacterized protein
K06912	349	574	530	289	592	352	91	114	67	61	100	55	25	19	65	36	53	45	11	12	70	122	78	39	"alpha-ketoglutarate-dependent 2,4-dichlorophenoxyacetate dioxygenase [EC:1.14.11.-]"
K06913	9	24	18	6	21	8	22	55	23	27	36	23	85	56	56	45	32	30	0	9	34	57	80	33	uncharacterized protein
K06914	27	28	35	22	17	9	16	33	13	26	21	33	58	68	79	57	38	53	11	13	72	115	83	61	uncharacterized protein
K06915	2722	2513	2156	1679	2219	2005	1443	2118	2333	3278	1721	2913	3671	3025	4897	3057	3890	3441	265	24717	4093	5969	2837	2154	uncharacterized protein
K06916	1016	899	834	492	782	655	461	618	452	438	390	392	1028	874	1314	1390	844	823	20	241	797	1826	1042	614	cell division protein ZapE
K06917	648	345	374	302	352	461	351	421	429	450	355	434	1314	1312	1296	1324	664	589	35	217	787	1626	901	639	tRNA 2-selenouridine synthase [EC:2.9.1.-]
K06918	386	288	279	106	263	148	50	125	114	89	86	71	589	449	856	721	424	519	7	182	496	1318	555	350	uncharacterized protein
K06919	1618	1756	1453	1383	1572	1734	1646	2190	1979	2075	1772	1897	2858	2491	2411	2639	2203	951	1234	5109	3004	4059	2156	2241	putative DNA primase/helicase
K06920	969	1078	914	1014	1076	1472	983	1254	1216	1218	1047	1147	1131	1033	1215	1076	950	809	43	1940	1095	1698	1100	704	7-cyano-7-deazaguanine synthase [EC:6.3.4.20]
K06921	553	563	542	522	544	624	890	938	1038	1155	1112	986	1389	1203	1406	1125	1053	840	74	7775	1434	2004	984	1195	uncharacterized protein
K06922	350	379	353	279	311	331	214	323	268	293	275	247	365	343	422	385	287	152	16	113	334	537	398	224	uncharacterized protein
K06923	579	543	543	344	653	650	268	405	404	447	256	335	786	917	922	903	585	501	13	159	498	1293	707	384	uncharacterized protein
K06924	1	0	0	0	0	0	0	0	0	0	0	1	1	4	0	0	0	0	0	0	0	1	0	0	uncharacterized protein
K06925	1229	905	837	796	1002	1416	817	1078	1038	980	1015	1004	2038	2051	1925	1977	1298	1194	191	321	1254	2601	1487	1040	tRNA threonylcarbamoyladenosine biosynthesis protein TsaE
K06926	128	188	147	235	190	287	58	129	105	132	155	220	394	554	455	413	200	114	24	59	392	391	382	246	uncharacterized protein
K06927	0	2	2	4	3	7	2	5	3	5	5	1	1	0	1	1	0	4	12	4	3	4	2	1	diphthine-ammonia ligase [EC:6.3.1.14]
K06928	37	12	19	30	17	28	114	180	162	153	161	94	164	87	80	71	78	62	51	63	69	126	33	44	nucleoside-triphosphatase [EC:3.6.1.15]
K06929	1206	1114	899	767	974	1435	583	810	749	812	693	862	2052	1922	1949	1910	1311	1205	61	2181	1176	2500	1304	854	uncharacterized protein
K06930	41	35	47	33	47	12	25	174	653	1898	145	2196	1977	772	3403	889	2513	2218	75	20136	2432	3261	911	838	uncharacterized protein
K06931	32	7	18	27	12	5	45	43	40	22	37	23	80	50	52	36	39	15	0	14	86	78	120	62	uncharacterized protein
K06932	40	190	60	115	58	39	27	78	143	326	74	341	259	137	382	148	330	286	7	5184	362	477	146	134	tRNA(Ile2)-agmatinylcytidine synthase [EC:6.3.4.22]
K06933	3	3	0	27	6	39	24	42	48	55	27	52	151	176	144	168	85	65	75	47	111	97	67	52	uncharacterized protein
K06934	116	87	73	123	100	195	139	221	253	304	229	331	575	506	587	495	344	342	9	2804	371	715	226	235	uncharacterized protein
K06935	0	3	2	6	3	9	29	16	20	20	20	3	23	22	17	10	16	4	4	15	34	28	25	12	uncharacterized protein
K06936	56	94	88	95	127	115	106	175	225	360	166	529	462	372	520	310	480	546	20	4297	432	520	262	189	uncharacterized protein
K06937	481	704	520	553	486	439	360	491	455	449	471	507	154	182	158	161	135	94	70	572	202	233	117	101	"7,8-dihydro-6-hydroxymethylpterin dimethyltransferase [EC:2.1.1.-]"
K06938	192	152	108	55	122	117	89	90	80	64	81	25	649	610	791	855	544	552	123	615	449	1058	634	318	uncharacterized protein
K06939	1	0	0	1	0	4	0	1	1	0	2	0	13	13	3	3	10	4	6	1	14	3	10	2	uncharacterized protein
K06940	774	671	525	941	706	1135	1583	2054	2035	2111	2130	1914	1057	889	1224	823	737	617	151	3553	1092	1530	1046	619	uncharacterized protein
K06941	3024	2700	2409	2147	2529	3063	2153	2792	2722	2567	2574	2301	3533	4019	3462	3914	2404	1892	102	799	2542	4295	3003	1841	23S rRNA (adenine2503-C2)-methyltransferase [EC:2.1.1.192]
K06942	3202	2961	2690	2502	2787	2947	2590	3050	3225	3374	2909	2925	4211	4072	4687	3873	3173	2664	89	9829	3488	5904	3347	2325	ribosome-binding ATPase
K06943	7	15	17	26	12	28	25	51	112	230	27	200	244	123	390	122	285	309	6	4029	299	387	140	101	nucleolar GTP-binding protein
K06944	231	266	233	326	157	189	626	761	819	934	682	614	799	349	670	431	465	451	64	4521	585	708	271	267	uncharacterized protein
K06945	258	220	178	115	112	247	90	129	110	102	125	94	121	43	63	50	50	36	8	39	46	111	36	19	uncharacterized protein
K06946	75	79	52	16	35	16	34	38	31	30	28	25	71	56	85	99	52	23	3	31	70	117	71	42	uncharacterized protein
K06947	8	28	19	12	9	13	5	8	17	18	12	27	27	5	15	7	22	1	47	5	10	33	6	8	polynucleotide 5'-hydroxyl-kinase GRC3/NOL9 [EC:2.7.1.-]
K06948	10	10	5	22	7	45	14	37	25	13	19	15	114	128	53	63	52	39	19	19	73	144	46	67	uncharacterized protein
K06949	2632	1932	1817	1457	1505	2128	2251	2646	2609	2582	2419	1865	3030	2956	2537	2843	1760	1393	114	550	1809	3422	2201	1719	ribosome biogenesis GTPase [EC:3.6.1.-]
K06950	744	479	338	424	371	539	820	977	1065	1155	969	970	1198	1276	1254	1078	914	836	91	3690	996	1386	805	615	uncharacterized protein
K06951	101	24	51	102	47	103	149	221	262	214	213	138	122	133	96	109	82	59	5	102	159	266	95	101	uncharacterized protein
K06952	222	239	261	144	273	245	72	94	85	72	66	63	384	403	617	514	352	330	5	113	337	822	450	257	uncharacterized protein
K06953	295	346	267	137	291	160	60	149	206	387	117	411	645	423	1203	745	752	700	22	5263	762	1608	599	430	uncharacterized protein
K06954	912	740	765	310	638	360	433	473	456	434	410	348	841	801	1127	1157	956	617	11	245	782	1730	1103	477	uncharacterized protein
K06955	823	341	419	124	187	117	607	682	647	631	503	418	1274	975	1578	1250	1085	1033	49	4187	1151	1844	1179	644	uncharacterized protein
K06956	82	100	95	44	76	36	47	45	49	35	40	27	65	47	27	52	50	18	1	6	38	91	36	17	uncharacterized protein
K06957	105	92	95	57	104	111	86	142	199	466	107	569	608	389	787	279	628	514	10	6899	586	743	444	205	tRNA(Met) cytidine acetyltransferase [EC:2.3.1.193]
K06958	1266	1145	1015	945	1136	1267	1010	1164	1136	1048	974	872	1718	1740	1691	1828	1081	928	23	365	1043	2306	1234	905	RNase adapter protein RapZ
K06959	2077	1663	1544	1539	1323	1784	2120	2583	2783	2706	2787	2547	3090	3424	2578	2748	1848	974	110	838	2517	3237	2215	1666	protein Tex
K06960	528	370	297	442	416	680	891	989	1121	998	1040	630	767	768	517	632	301	278	36	152	411	927	373	402	uncharacterized protein
K06961	19	88	28	70	32	37	58	58	109	194	55	196	181	116	265	100	205	241	28	2870	240	327	104	95	ribosomal RNA assembly protein
K06962	93	66	58	84	37	91	215	244	259	224	284	217	155	291	140	155	64	118	14	42	83	234	60	72	uncharacterized protein
K06963	13	88	22	27	31	18	10	8	5	9	10	5	3	5	2	1	0	0	5	2	0	6	1	0	tRNA acetyltransferase TAN1
K06964	0	0	0	0	0	0	0	6	4	0	0	0	10	9	3	5	5	0	0	2	9	3	4	4	uncharacterized protein
K06965	25	161	69	79	64	68	55	66	139	308	65	262	248	119	419	132	294	294	1	3797	368	452	154	113	protein pelota
K06966	3777	3305	2987	2741	3352	4094	2892	3740	3591	3446	3018	3006	3522	3626	3749	3831	2885	2165	230	2921	2859	4810	3227	1822	uncharacterized protein
K06967	26	7	14	10	5	5	14	16	14	9	9	15	170	310	112	155	60	65	4	8	82	173	44	56	tRNA (adenine22-N1)-methyltransferase [EC:2.1.1.217]
K06968	161	105	96	71	111	132	29	74	48	75	55	105	269	125	154	105	109	89	8	30	152	207	147	60	23S rRNA (cytidine2498-2'-O)-methyltransferase [EC:2.1.1.186]
K06969	2190	1849	1774	1505	1910	2036	1291	1630	1579	1361	1429	1156	1367	1758	1839	1638	1094	755	56	341	1415	2906	1390	1111	23S rRNA (cytosine1962-C5)-methyltransferase [EC:2.1.1.191]
K06970	136	34	28	14	25	28	42	61	99	64	61	28	90	171	84	95	90	85	0	14	80	83	137	79	23S rRNA (adenine1618-N6)-methyltransferase [EC:2.1.1.181]
K06971	346	429	294	256	308	275	273	341	350	381	347	274	288	228	500	286	303	208	11	1942	359	613	272	232	uncharacterized protein
K06972	1058	820	774	727	709	925	1403	1623	1875	1650	1653	1341	982	1262	992	1142	803	304	40	414	1193	1473	1162	768	presequence protease [EC:3.4.24.-]
K06973	978	910	693	480	563	469	676	844	756	692	723	471	1238	1340	996	1270	718	656	9	211	656	1203	823	593	uncharacterized protein
K06974	115	75	80	213	111	313	332	485	560	669	470	585	204	114	332	120	238	239	11	2247	306	354	196	128	archaemetzincin [EC:3.4.-.-]
K06975	528	298	213	145	216	345	129	173	153	165	137	136	516	597	491	572	418	364	11	71	375	625	520	286	uncharacterized protein
K06976	181	125	122	102	140	142	49	71	85	73	75	45	200	235	152	144	70	40	64	42	115	242	99	166	uncharacterized protein
K06977	153	99	97	44	114	61	137	186	137	131	111	95	131	146	93	88	55	60	7	10	82	209	71	39	uncharacterized protein
K06978	3937	4944	4337	3654	4856	4474	2381	3155	3005	3312	2898	3082	4556	3889	4756	4677	3858	2369	163	1307	3692	5316	4109	2403	uncharacterized protein
K06979	1	2	1	0	0	1	0	1	0	0	0	0	0	1	2	1	1	1	1	0	0	1	0	0	macrolide phosphotransferase
K06980	1103	994	916	692	1023	1217	416	611	423	406	377	374	846	898	1053	997	721	658	113	194	685	1629	883	497	tRNA-modifying protein YgfZ
K06981	117	232	147	109	124	100	108	167	194	310	121	280	154	86	273	84	204	179	7	3024	241	327	112	73	isopentenyl phosphate kinase [EC:2.7.4.26]
K06982	27	108	43	69	44	34	10	58	122	329	37	282	286	142	397	114	322	289	56	3099	314	449	164	148	pantoate kinase [EC:2.7.1.169]
K06983	39	35	25	29	12	29	38	65	48	37	63	28	0	2	5	2	2	0	12	4	8	11	6	3	uncharacterized protein
K06984	14	14	24	21	26	12	32	78	101	217	80	209	170	93	338	107	214	221	8	3369	270	365	124	106	beta-ribofuranosylaminobenzene 5'-phosphate synthase [EC:2.4.2.54]
K06985	492	484	369	259	417	329	267	362	246	220	214	124	418	404	672	465	401	314	21	109	361	898	507	255	aspartyl protease family protein
K06986	25	32	33	45	60	90	14	27	27	26	20	77	349	293	313	485	348	195	4	61	257	353	305	130	uncharacterized protein
K06987	2701	2537	2352	1269	1946	1544	1581	1912	2174	2320	1618	1918	2643	2194	3046	2576	2183	2109	60	8773	2061	3248	1925	1277	uncharacterized protein
K06988	845	990	863	801	1000	1050	251	527	380	500	295	857	374	198	491	303	371	315	24	3420	384	697	247	231	uncharacterized protein
K06989	265	350	330	207	256	188	123	177	160	208	146	116	141	165	227	195	129	123	6	77	168	408	168	134	aspartate dehydrogenase [EC:1.4.1.21]
K06990	971	957	870	1499	1195	2019	2054	2543	2637	2536	2514	2141	1593	1574	1347	1515	989	597	125	533	1519	1976	1390	955	uncharacterized protein
K06991	453	288	259	155	220	227	151	242	198	166	153	272	855	740	770	959	703	585	2	103	512	915	637	301	uncharacterized protein
K06992	131	154	146	124	154	192	50	102	49	75	51	91	270	199	162	198	152	168	229	60	167	312	131	104	uncharacterized protein
K06993	6	0	1	0	0	0	0	0	0	0	0	0	8	13	8	6	1	0	18	1	1	14	1	0	uncharacterized protein
K06994	2364	1252	1118	1062	1546	1415	233	684	319	284	365	402	159	149	240	200	161	137	44	152	253	792	195	276	putative drug exporter of the RND superfamily
K06995	249	213	180	147	239	239	308	333	311	329	305	173	162	169	196	250	137	134	48	82	146	495	149	197	uncharacterized protein
K06996	1977	1909	1555	1001	1595	1402	1065	1256	1034	980	977	743	1434	1338	1062	1459	1002	890	64	163	841	1250	1014	560	uncharacterized protein
K06997	1931	1681	1601	1492	1716	2160	1453	1816	1915	1709	1639	1445	2963	2699	2762	2738	1860	1570	45	596	1925	3359	2134	1342	PLP dependent protein
K06998	547	654	531	422	503	467	267	380	373	366	337	293	611	570	709	769	532	370	12	171	423	774	550	290	"trans-2,3-dihydro-3-hydroxyanthranilate isomerase [EC:5.3.3.17]"
K06999	1350	1308	1156	782	1229	1142	561	846	783	865	573	821	1555	1285	1902	1570	1287	1068	42	2819	1186	2356	1386	748	phospholipase/carboxylesterase
K07000	114	143	95	111	98	140	98	103	105	93	130	100	102	114	79	84	63	64	34	42	68	117	69	38	uncharacterized protein
K07001	6398	5162	4602	3459	4484	5054	4836	6325	5828	5271	4921	3955	7108	7349	7152	7270	5294	4005	869	2846	4985	8654	6023	3873	NTE family protein
K07002	82	93	91	92	137	156	43	90	48	55	76	48	51	70	23	57	48	15	9	76	40	88	35	26	uncharacterized protein
