EWsiteHyd_index	Sample	MG_name	Latitude	Longitude	Date.x	SPID	taxon_oid	GOLD_Analysis_Project_ID	GOLD_Sequencing_Project_ID	Index	Site	Location	Pl_Sp	EWcoastGroup	SALTgroup	LU	Depth	Date.y	Salinity.x	Core_Weight_oz	Temp	Conductivity	CO2_uM_m2_s	CH4_uM_m2_s	CO2_mg_m2_h	CH4_ug_m2_h	CH4_ppm_s	CO2_ppm_s	D1_Read_count	iTag_name.x	latitude	longitude	Part_DM	pH	Cl	SO4	OM_LOI	Corg_LOI	N	C	NO3_N	NH4_N	Olsen_P	P	Zn	Mn	Fe	Cu	EW.no	iTag_name.y	SampNO	PW_LABEL	Salinity.y	Cl_pw	SO4_pw	DOC_mg_L	NO2_pw	NO3_pw	NH3_pw	PO4_pw	Br_pw	F_pw	Na_pw	Mg_pw	Ca_pw	K_pw	Sr_pw	Fe_pw	Mn_pw	Al_pw	Si_pw	Co_pw	Cu_pw	Zn_pw
72	Browns_ThreeSqB_D2	Browns_ThreeSqB_D2	37.770749	-122.378031	9/7/13	1047899	3300004024	Ga0055436	Gp0101321	119	Browns Island	Browns	ThreeSq	SF_Ref	Oligo	Ref	d2	9/7/17	4.348960689	12	19.9	7064	22.42447327	0.00450913	3.668625483	1.012024245	0.000110675	0.550401929	171841	s119_Browns_ThreeSqB_D2	38.045666	-121.866516	36.5	5.93	82.06	156.8	12.54	7.27	0.459	6.43	0.25	13.87	8.5	0.081	122	514	41180	61	119	s119_Browns_ThreeSqB_D2	s119	W21	4.35	1593.292	22.508	19.96	NA	NA	5.946666667	6.744	5.7615	0.446	735115.74	103892.89	74038.84	13579.15	713.44	444.01	2940.1	22.82	13861.75	0.46	11.57	NA
73	Browns_ThreeSqC_D1	Browns_ThreeSqC_D1	37.770749	-122.378031	9/7/13	1047893	3300005183	Ga0068993	Gp0101319	36	Browns Island	Browns	ThreeSq	SF_Ref	Oligo	Ref	d1	9/7/17	4.143776503	12.2	20	6767	7.389017064	-0.000173914	1.208837148	-0.039032977	-4.27E-06	0.181361194	173223	s036_Browns_ThreeSqC_D1	38.045666	-121.866516	33.4	6.22	82.66	143.6	12.73	7.38	0.556	7.37	0.42	15.86	15.7	0.099	NA	NA	NA	NA	36	s036_Browns_ThreeSqC_D1	s036	W22	4.14	1488.093	8.8065	19.15	NA	NA	3.240666667	3.1545	5.8125	0.456	701542.46	100987.7	72569.68	15138.08	660.33	266.77	5699.23	17.96	14472.26	0.48	11.23	NA
74	Browns_ThreeSqC_D2	Browns_ThreeSqC_D2	37.770749	-122.378031	9/7/13	1047902	3300004009	Ga0055437	Gp0101322	120	Browns Island	Browns	ThreeSq	SF_Ref	Oligo	Ref	d2	9/7/17	4.143776503	12.2	20	6767	7.389017064	-0.000173914	1.208837148	-0.039032977	-4.27E-06	0.181361194	173223	s120_Browns_ThreeSqC_D2	38.045666	-121.866516	37.3	5.98	93.98	141.9	12.44	7.22	0.461	6.51	0.6	19.2	17.6	0.088	121	487	43760	63	120	s120_Browns_ThreeSqC_D2	s120	W22	4.14	1488.093	8.8065	19.15	NA	NA	3.240666667	3.1545	5.8125	0.456	701542.46	100987.7	72569.68	15138.08	660.33	266.77	5699.23	17.96	14472.26	0.48	11.23	NA
75	RushSE_TuleA_D1	RushSE_TuleA_D1	38.2031	-122.0277	9/24/13	1072579	3300014319	Ga0075348	Gp0116114	42	RushRanch_SE	RushRanch	Tule	SF_Rest	Meso	Ref	d1	9/24/17	6.368165797	12.2	19.5	9988	9.243000854	0.104523138	1.512147379	23.45905848	0.002565489	0.226866667	105836	s042_RushSE_TuleA_D1	38.224476	-122.019341	32	6.94	165.13	741.1	12.31	7.14	0.544	6.74	NA	27.8	29.6	0.104	NA	NA	NA	NA	42	s042_RushSE_TuleA_D1	s042	W65	6.37	1837.17	134.596	12.19	1.318	NA	0.497666667	1.096	5.322	0.338	873570.11	120862.5	98217.43	29368.2	1089.39	80	5951.83	17.85	15237.92	2.21	9.07	10.53
76	RushSE_TuleA_D2	RushSE_TuleA_D2	37.770749	-122.378031	9/24/13	1048073	3300004048	Ga0055494	Gp0101379	127	RushRanch_SE	RushRanch	Tule	SF_Rest	Meso	Ref	d2	9/24/17	6.368165797	12.2	19.5	9988	9.243000854	0.104523138	1.512147379	23.45905848	0.002565489	0.226866667	105836	s127_RushSE_TuleA_D2	38.224476	-122.019341	38	6.72	149.79	751	11.19	6.49	0.443	5.93	0.17	30.62	19	0.066	141	932	47250	54	127	s127_RushSE_TuleA_D2	s127	W65	6.37	1837.17	134.596	12.19	1.318	NA	0.497666667	1.096	5.322	0.338	873570.11	120862.5	98217.43	29368.2	1089.39	80	5951.83	17.85	15237.92	2.21	9.07	10.53
77	RushSE_TuleB_D1	RushSE_TuleB_D1	38.2031	-122.0277	9/24/13	1072580	3300014305	Ga0075349	Gp0116115	43	RushRanch_SE	RushRanch	Tule	SF_Rest	Meso	Ref	d1	9/24/17	6.473276176	12.4	18.2	9853	28.49100135	0.648202689	4.661104515	145.4819003	0.015909939	0.69930303	132354	s043_RushSE_TuleB_D1	38.224476	-122.019341	27.4	7.17	233.28	644.3	12.71	7.37	0.54	7.22	NA	25.94	35.5	0.1	NA	NA	NA	NA	43	s043_RushSE_TuleB_D1	s043	W66	6.47	2489.4485	136.23	20.76	NA	NA	4.551333333	4.887	8.424	0.6935	1171654.91	157657.2	113830.35	39718.65	1301.26	217.33	7973.61	19.81	19676.06	0.84	10.96	4
78	RushSE_TuleB_D2	RushSE_TuleB_D2	37.770749	-122.378031	9/24/13	1048076	3300004146	Ga0055495	Gp0101380	128	RushRanch_SE	RushRanch	Tule	SF_Rest	Meso	Ref	d2	9/24/17	6.473276176	12.4	18.2	9853	28.49100135	0.648202689	4.661104515	145.4819003	0.015909939	0.69930303	132354	s128_RushSE_TuleB_D2	38.224476	-122.019341	34.6	6.8	179.55	730.1	11.42	6.63	0.46	6.17	NA	20.23	14.4	0.08	139	843	47330	51	128	s128_RushSE_TuleB_D2	s128	W66	6.47	2489.4485	136.23	20.76	NA	NA	4.551333333	4.887	8.424	0.6935	1171654.91	157657.2	113830.35	39718.65	1301.26	217.33	7973.61	19.81	19676.06	0.84	10.96	4
79	RushSE_TuleC_D1	RushSE_TuleC_D1	38.2031	-122.0277	9/24/13	1072581	3300014315	Ga0075350	Gp0116116	44	RushRanch_SE	RushRanch	Tule	SF_Rest	Meso	Ref	d1	9/24/17	7.180456676	11.8	18.5	10921	37.66105398	0.116345186	6.161317625	26.11238599	0.002855657	0.924379205	138045	s044_RushSE_TuleC_D1	38.224476	-122.019341	32.2	7.09	196.72	512.7	12	6.96	0.533	6.77	0.2	17.71	34.6	0.12	NA	NA	NA	NA	44	s044_RushSE_TuleC_D1	s044	W67	7.18	3413.2325	318.9515	18.71	NA	0.2165	0.025333333	NA	11.277	0.6125	1587197.8	213406.24	146034.22	46547.33	2195.76	19.56	4829.86	19.51	12212.34	2.84	19.84	15.13
80	RushSE_TuleC_D2	RushSE_TuleC_D2	37.770749	-122.378031	9/24/13	1048079	3300004057	Ga0055496	Gp0101381	129	RushRanch_SE	RushRanch	Tule	SF_Rest	Meso	Ref	d2	9/24/17	7.180456676	11.8	18.5	10921	37.66105398	0.116345186	6.161317625	26.11238599	0.002855657	0.924379205	138045	s129_RushSE_TuleC_D2	38.224476	-122.019341	33.5	6.83	210.45	570.7	9.84	5.71	0.397	5.07	0.36	12.16	24.4	0.084	140	774	40220	52	129	s129_RushSE_TuleC_D2	s129	W67	7.18	3413.2325	318.9515	18.71	NA	0.2165	0.025333333	NA	11.277	0.6125	1587197.8	213406.24	146034.22	46547.33	2195.76	19.56	4829.86	19.51	12212.34	2.84	19.84	15.13
81	RushSE_CattailNLA_D1	RushSE_CattailNLA_D1	38.2031	-122.0277	9/24/13	1072576	3300014312	Ga0075345	Gp0116111	45	RushRanch_SE	RushRanch	CattailNL	SF_Rest	Meso	Ref	d1	9/24/17	6.488424734	12.6	20.8	10454	12.41783771	0.02158519	2.031548092	4.844556408	0.000529802	0.304792079	147960	s045_RushSE_CattailNLA_D1	38.224518	-122.019257	31.2	7.09	183.63	624.7	13.55	7.86	0.566	7.29	0.24	30.9	34.9	0.104	NA	NA	NA	NA	45	s045_RushSE_CattailNLA_D1	s045	W62	6.49	2985.1525	148.5035	16.98	NA	1.1505	0.051333333	NA	9.8605	0.5145	1388465.8	192358.27	132137.2	40667.76	1981.69	31.19	7636	19.82	21261.89	1.51	15.54	12.47
82	RushSE_CattailNLA_D2	RushSE_CattailNLA_D2	37.770749	-122.378031	9/24/13	1048064	3300004050	Ga0055491	Gp0101376	130	RushRanch_SE	RushRanch	CattailNL	SF_Rest	Meso	Ref	d2	9/24/17	6.488424734	12.6	20.8	10454	12.41783771	0.02158519	2.031548092	4.844556408	0.000529802	0.304792079	147960	s130_RushSE_CattailNLA_D2	38.224518	-122.019257	34	6.88	170.3	632	11.61	6.73	0.432	6.04	0.21	15.03	14.2	0.07	138	809	45980	53	130	s130_RushSE_CattailNLA_D2	s130	W62	6.49	2985.1525	148.5035	16.98	NA	1.1505	0.051333333	NA	9.8605	0.5145	1388465.8	192358.27	132137.2	40667.76	1981.69	31.19	7636	19.82	21261.89	1.51	15.54	12.47
83	RushSE_CattailNLB_D1	RushSE_CattailNLB_D1	38.2031	-122.0277	9/24/13	1072577	3300014306	Ga0075346	Gp0116112	46	RushRanch_SE	RushRanch	CattailNL	SF_Rest	Meso	Ref	d1	9/24/17	7.4866462	12.8	19.4	11580	14.711713	0.012579821	2.406824212	2.823401205	0.000308768	0.361094556	130498	s046_RushSE_CattailNLB_D1	38.224518	-122.019257	32.2	7.02	200.33	841.9	12.23	7.09	0.524	6.67	0.17	14.43	15.3	0.081	NA	NA	NA	NA	46	s046_RushSE_CattailNLB_D1	s046	W63	7.49	2950.139	269.369	17.78	0.421	0.5535	0.009833333	0.9605	9.5885	0.445	1434498.8	184637.59	125532.96	41970.3	1862.54	23.59	6301.25	23.94	15102.86	1.37	17.4	20.83
84	RushSE_CattailNLB_D2	RushSE_CattailNLB_D2	37.770749	-122.378031	9/24/13	1048067	3300004051	Ga0055492	Gp0101377	131	RushRanch_SE	RushRanch	CattailNL	SF_Rest	Meso	Ref	d2	9/24/17	7.4866462	12.8	19.4	11580	14.711713	0.012579821	2.406824212	2.823401205	0.000308768	0.361094556	130498	s131_RushSE_CattailNLB_D2	38.224518	-122.019257	32.5	6.85	190.52	758.2	11.94	6.92	0.438	6.23	NA	22.97	16.7	0.068	136	855	45910	52	131	s131_RushSE_CattailNLB_D2	s131	W63	7.49	2950.139	269.369	17.78	0.421	0.5535	0.009833333	0.9605	9.5885	0.445	1434498.8	184637.59	125532.96	41970.3	1862.54	23.59	6301.25	23.94	15102.86	1.37	17.4	20.83
85	RushSE_CattailNLC_D1	RushSE_CattailNLC_D1	38.2031	-122.0277	9/24/13	1072578	3300014313	Ga0075347	Gp0116113	47	RushRanch_SE	RushRanch	CattailNL	SF_Rest	Meso	Ref	d1	9/24/17	7.406254334	12.4	18.5	11239	6.477604459	0.004719359	1.059730791	1.059207735	0.000115835	0.158990847	153276	s047_RushSE_CattailNLC_D1	38.224518	-122.019257	30.8	6.99	198.08	579.6	11.82	6.86	0.551	6.51	0.15	25.42	18.2	0.127	NA	NA	NA	NA	47	s047_RushSE_CattailNLC_D1	s047	W64	7.41	2869.2955	314.309	13.01	NA	0.3895	0.007166667	NA	8.9455	0.5715	1360110.13	161250.03	108370.78	36362.68	1292.32	21.86	918.46	17.67	10573.31	0.54	16.49	24.09
86	RushSE_CattailNLC_D2	RushSE_CattailNLC_D2	37.770749	-122.378031	9/24/13	1048070	3300004049	Ga0055493	Gp0101378	132	RushRanch_SE	RushRanch	CattailNL	SF_Rest	Meso	Ref	d2	9/24/17	7.406254334	12.4	18.5	11239	6.477604459	0.004719359	1.059730791	1.059207735	0.000115835	0.158990847	153276	s132_RushSE_CattailNLC_D2	38.224518	-122.019257	36.6	6.73	173.77	372.9	10.73	6.22	0.436	5.55	0.37	17.21	18.3	0.088	144	819	42870	52	132	s132_RushSE_CattailNLC_D2	s132	W64	7.41	2869.2955	314.309	13.01	NA	0.3895	0.007166667	NA	8.9455	0.5715	1360110.13	161250.03	108370.78	36362.68	1292.32	21.86	918.46	17.67	10573.31	0.54	16.49	24.09
87	RushMan_CattailNLA_D1	NA	NA	NA	NA	NA	NA	NA	NA	37	RushRanch_managed	RushRanch	CattailNL	SF_Rest	Meso	Restored	d1	9/19/17	8.155155217	11.6	20.1	12727	31.38608665	0.13102626	5.134738102	29.40738992	0.003216	0.770362025	136017	s037_RushMan_CattailNLA_D1	38.209923	-122.033409	24.9	6.2	286.54	676.9	18.1	10.5	0.751	10.51	0.32	23.03	36.8	0.123	NA	NA	NA	NA	37	s037_RushMan_CattailNLA_D1	s037	W53	8.16	1898.716	424.22	10.64	2.098	NA	NA	NA	5.618	0.212	1017459.48	109434.21	77463.11	29406.96	796.26	24.76	634.84	18.56	10213.22	3.17	11.85	36.7
88	RushMan_CattailNLA_D2	RushMan_CattailNLA_D2	37.770749	-122.378031	9/19/13	1048037	3300005216	Ga0068994	Gp0101367	121	RushRanch_managed	RushRanch	CattailNL	SF_Rest	Meso	Restored	d2	9/19/17	8.155155217	11.6	20.1	12727	31.38608665	0.13102626	5.134738102	29.40738992	0.003216	0.770362025	136017	s121_RushMan_CattailNLA_D2	38.209923	-122.033409	19.5	6.27	236.74	629.6	27.95	16.21	0.848	15.5	0.71	45.93	9	0.07	102	417	40570	53	121	s121_RushMan_CattailNLA_D2	s121	W53	8.16	1898.716	424.22	10.64	2.098	NA	NA	NA	5.618	0.212	1017459.48	109434.21	77463.11	29406.96	796.26	24.76	634.84	18.56	10213.22	3.17	11.85	36.7
89	RushMan_CattailNLB_D1	NA	NA	NA	NA	NA	NA	NA	NA	38	RushRanch_managed	RushRanch	CattailNL	SF_Rest	Meso	Restored	d1	9/19/17	7.731226222	13	19.9	12061	15.8405615	0.109748293	2.591502904	24.63178651	0.002693739	0.388801802	145353	s038_RushMan_CattailNLB_D1	38.209923	-122.033409	19.6	6.3	239.15	770.7	22.78	13.21	0.838	13.22	0.78	38.61	10	0.06	NA	NA	NA	NA	38	s038_RushMan_CattailNLB_D1	s038	W54	7.73	3371.94	444.71	17.77	1.238	NA	3.834666667	NA	9.732	0.378	1713573.29	199451.38	110713.13	54383.25	1450.55	44.13	623.05	31.94	15192.38	1.17	18.58	25.84
90	RushMan_CattailNLB_D2	RushMan_CattailNLB_D2	37.770749	-122.378031	9/19/13	1048040	3300004063	Ga0055483	Gp0101368	122	RushRanch_managed	RushRanch	CattailNL	SF_Rest	Meso	Restored	d2	9/19/17	7.731226222	13	19.9	12061	15.8405615	0.109748293	2.591502904	24.63178651	0.002693739	0.388801802	145353	s122_RushMan_CattailNLB_D2	38.209923	-122.033409	28.2	6.44	206.7	434.2	24.58	14.26	0.866	13.9	0.29	32.92	11.5	0.058	80	270	28650	48	122	s122_RushMan_CattailNLB_D2	s122	W54	7.73	3371.94	444.71	17.77	1.238	NA	3.834666667	NA	9.732	0.378	1713573.29	199451.38	110713.13	54383.25	1450.55	44.13	623.05	31.94	15192.38	1.17	18.58	25.84
91	RushMan_CattailNLC_D1	RushMan_CattailNLC_D1	38.2079	-122.0311	9/19/13	1072570	3300014316	Ga0075339	Gp0116105	39	RushRanch_managed	RushRanch	CattailNL	SF_Rest	Meso	Restored	d1	9/19/17	8.391195087	12.8	20.3	13124	9.176565251	0.031120812	1.501278568	6.984720829	0.000763851	0.225236025	131328	s039_RushMan_CattailNLC_D1	38.209923	-122.033409	23.8	6.36	262.17	836.6	15.78	9.15	0.653	8.7	0.34	36.53	22.4	0.077	NA	NA	NA	NA	39	s039_RushMan_CattailNLC_D1	s039	W55	8.39	3136.694	395.166	21.41	2.252	NA	4.550666667	NA	9.402	0.394	1586049.41	191270.71	111180.37	50598.08	1372.5	239.08	723.68	23.69	14675.03	0.95	16.73	20.19
92	RushMan_CattailNLC_D2	RushMan_CattailNLC_D2	37.770749	-122.378031	9/19/13	1048043	3300004066	Ga0055484	Gp0101369	123	RushRanch_managed	RushRanch	CattailNL	SF_Rest	Meso	Restored	d2	9/19/17	8.391195087	12.8	20.3	13124	9.176565251	0.031120812	1.501278568	6.984720829	0.000763851	0.225236025	131328	s123_RushMan_CattailNLC_D2	38.209923	-122.033409	21.4	6.6	233.85	629.3	19.98	11.59	0.606	10.56	0.71	32.34	9.8	0.061	114	437	44950	63	123	s123_RushMan_CattailNLC_D2	s123	W55	8.39	3136.694	395.166	21.41	2.252	NA	4.550666667	NA	9.402	0.394	1586049.41	191270.71	111180.37	50598.08	1372.5	239.08	723.68	23.69	14675.03	0.95	16.73	20.19
93	RushMan_ThreeSqA_D1	RushMan_ThreeSqA_D1	38.2079	-122.0311	9/20/13	1072571	3300014304	Ga0075340	Gp0116106	40	RushRanch_managed	RushRanch	ThreeSq	SF_Rest	Meso	Restored	d1	9/20/17	10.69236377	12.6	21.5	16839	20.4002877	0.009756796	3.337470381	2.189804575	0.000239478	0.500718905	181576	s040_RushMan_ThreeSqA_D1	38.209766	-122.033424	28.2	6.58	226.06	415.9	17.45	10.12	0.776	10.41	0.42	30.15	32.2	0.162	NA	NA	NA	NA	40	s040_RushMan_ThreeSqA_D1	s040	W56	10.69	3848.8905	554.447	14.83	NA	1.004	NA	NA	12.5315	0.399	1909814.27	227325.69	129093.71	48827.3	2092.92	26.09	12.15	20.39	6526.29	0.49	23.44	52.35
94	RushMan_ThreeSqA_D2	RushMan_ThreeSqA_D2	37.770749	-122.378031	9/20/13	1048046	3300004067	Ga0055485	Gp0101370	124	RushRanch_managed	RushRanch	ThreeSq	SF_Rest	Meso	Restored	d2	9/20/17	10.69236377	12.6	21.5	16839	20.4002877	0.009756796	3.337470381	2.189804575	0.000239478	0.500718905	181576	s124_RushMan_ThreeSqA_D2	38.209766	-122.033424	30.1	6.17	233.56	591.7	19.39	11.25	0.677	10.66	0.31	21.19	25.3	0.16	124	2561	44060	52	124	s124_RushMan_ThreeSqA_D2	s124	W56	10.69	3848.8905	554.447	14.83	NA	1.004	NA	NA	12.5315	0.399	1909814.27	227325.69	129093.71	48827.3	2092.92	26.09	12.15	20.39	6526.29	0.49	23.44	52.35
95	RushMan_ThreeSqB_D1	RushMan_ThreeSqB_D1	38.2079	-122.0311	9/20/13	1072572	3300014298	Ga0075341	Gp0116107	40.5	RushRanch_managed	RushRanch	ThreeSq	SF_Rest	Meso	Restored	d1	9/20/17	11.50069077	11.6	19.1	17100	43.15265525	0.014409341	7.0597391	3.234016645	0.000353673	1.059168901	NA	NA	38.209766	-122.033424	30.2	6.64	254.49	657.2	16.16	9.37	0.706	9.24	0.49	30.47	18.2	0.153	NA	NA	NA	NA	NA	NA	s040.5	W57	11.5	2369.507	544.8385	10.11	NA	1.4985	NA	NA	7.021	0.374	1283900.32	131843.52	86651.63	30529.71	942.2	12.69	4.55	16.61	4503.5	0.26	15.29	36.51
96	RushMan_ThreeSqB_D2	RushMan_ThreeSqB_D2	37.770749	-122.378031	9/20/13	1048049	3300004071	Ga0055486	Gp0101371	125	RushRanch_managed	RushRanch	ThreeSq	SF_Rest	Meso	Restored	d2	9/20/17	11.50069077	11.6	19.1	17100	43.15265525	0.014409341	7.0597391	3.234016645	0.000353673	1.059168901	NA	s125_RushMan_ThreeSqB_D2	38.209766	-122.033424	27.7	6.04	304.91	940.6	16.18	9.39	0.586	8.85	0.35	15.71	7.4	0.134	126	1224	50520	56	125	s125_RushMan_ThreeSqB_D2	s125	W57	11.5	2369.507	544.8385	10.11	NA	1.4985	NA	NA	7.021	0.374	1283900.32	131843.52	86651.63	30529.71	942.2	12.69	4.55	16.61	4503.5	0.26	15.29	36.51
97	RushMan_ThreeSqC_D1	NA	NA	NA	NA	NA	NA	NA	NA	41	RushRanch_managed	RushRanch	ThreeSq	SF_Rest	Meso	Restored	d1	9/20/17	11.68654142	9.6	18.9	17278	33.03229064	0.010220885	5.404055729	2.293964275	0.000250869	0.810767606	145924	s041_RushMan_ThreeSqC_D1	38.209766	-122.033424	30.9	6.52	281.12	513.1	12.61	7.32	0.59	7.11	0.28	15.57	36.6	0.156	NA	NA	NA	NA	41	s041_RushMan_ThreeSqC_D1	s041	W58	11.69	3580.044	567.198	13.22	1.69	NA	0.618666667	NA	10.286	0.268	1885203.29	206931.57	119685.61	42105.33	1526.62	13.27	189.38	24.57	4903.43	0.89	21.42	84.91
98	RushMan_ThreeSqC_D2	RushMan_ThreeSqC_D2	37.770749	-122.378031	9/20/13	1048052	3300004061	Ga0055487	Gp0101372	126	RushRanch_managed	RushRanch	ThreeSq	SF_Rest	Meso	Restored	d2	9/20/17	11.68654142	9.6	18.9	17278	33.03229064	0.010220885	5.404055729	2.293964275	0.000250869	0.810767606	145924	s126_RushMan_ThreeSqC_D2	38.209766	-122.033424	30.4	6.18	282.09	703.3	15.55	9.02	0.551	8.02	0.27	14.08	34.7	0.144	137	2093	48830	57	126	s126_RushMan_ThreeSqC_D2	s126	W58	11.69	3580.044	567.198	13.22	1.69	NA	0.618666667	NA	10.286	0.268	1885203.29	206931.57	119685.61	42105.33	1526.62	13.27	189.38	24.57	4903.43	0.89	21.42	84.91
99	RushOxbow_ThreeSqA_D1	RushOxbow_ThreeSqA_D1	38.2241	-122.0185	9/21/13	1072573	3300014320	Ga0075342	Gp0116108	48	RushRanch_oxbow	RushRanch	ThreeSq	SF_Rest	Meso	Ref	d1	9/21/17	10.88056066	12.8	20.2	16643	44.66001808	0.018092464	7.306342427	4.060652814	0.000444074	1.096166667	156674	s048_RushOxbow_ThreeSqA_D1	38.198971	-122.026955	28.8	6.6	301.43	615.9	16.07	9.32	0.798	9.06	0.14	16.66	21	0.135	NA	NA	NA	NA	48	s048_RushOxbow_ThreeSqA_D1	s048	W59	10.88	5999.156	722.472	22.81	2.45	NA	0.056333333	NA	18.424	0.576	2972442.74	386650.14	206356.25	87374.56	3328.1	89.69	7846.38	17.29	13887.69	1.92	38.76	56.26
100	RushOxbow_ThreeSqA_D2	RushOxbow_ThreeSqA_D2	37.770749	-122.378031	9/21/13	1048055	3300004070	Ga0055488	Gp0101373	133	RushRanch_oxbow	RushRanch	ThreeSq	SF_Rest	Meso	Ref	d2	9/21/17	10.88056066	12.8	20.2	16643	44.66001808	0.018092464	7.306342427	4.060652814	0.000444074	1.096166667	156674	s133_RushOxbow_ThreeSqA_D2	38.198971	-122.026955	37.8	6.37	238.47	527.8	13.03	7.56	0.505	6.73	0.19	28.57	11.2	0.095	135	529	40150	51	133	s133_RushOxbow_ThreeSqA_D2	s133	W59	10.88	5999.156	722.472	22.81	2.45	NA	0.056333333	NA	18.424	0.576	2972442.74	386650.14	206356.25	87374.56	3328.1	89.69	7846.38	17.29	13887.69	1.92	38.76	56.26
101	RushOxbow_ThreeSqB_D1	RushOxbow_ThreeSqB_D1	38.2241	-122.0185	9/21/13	1072574	3300014317	Ga0075343	Gp0116109	49	RushRanch_oxbow	RushRanch	ThreeSq	SF_Rest	Meso	Ref	d1	9/21/17	10.64716148	12.4	19.1	15928	27.61494529	0.01547383	4.517782461	3.472929527	0.0003798	0.677800499	142824	s049_RushOxbow_ThreeSqB_D1	38.198971	-122.026955	27.7	6.61	257.65	512.3	20.09	11.65	0.893	11.45	0.19	27.01	16.8	0.139	NA	NA	NA	NA	49	s049_RushOxbow_ThreeSqB_D1	s049	W60	10.65	3822.2305	593.163	12.45	4.0915	0.578	0.133666667	NA	13.1615	0.4185	1923049.91	247285.63	138386.95	59576.53	2314.4	14.45	105.51	16.71	15952.45	0.54	23.87	47.44
102	RushOxbow_ThreeSqB_D2	RushOxbow_ThreeSqB_D2	37.770749	-122.378031	9/21/13	1048058	3300004145	Ga0055489	Gp0101374	134	RushRanch_oxbow	RushRanch	ThreeSq	SF_Rest	Meso	Ref	d2	9/21/17	10.64716148	12.4	19.1	15928	27.61494529	0.01547383	4.517782461	3.472929527	0.0003798	0.677800499	142824	s134_RushOxbow_ThreeSqB_D2	38.198971	-122.026955	38.1	6.29	213.05	443.2	13.34	7.74	0.566	6.71	NA	28.58	7.8	0.11	141	754	44260	51	134	s134_RushOxbow_ThreeSqB_D2	s134	W60	10.65	3822.2305	593.163	12.45	4.0915	0.578	0.133666667	NA	13.1615	0.4185	1923049.91	247285.63	138386.95	59576.53	2314.4	14.45	105.51	16.71	15952.45	0.54	23.87	47.44
103	RushOxbow_ThreeSqC_D1	RushOxbow_ThreeSqC_D1	38.2241	-122.0185	9/21/13	1072575	3300014296	Ga0075344	Gp0116110	50	RushRanch_oxbow	RushRanch	ThreeSq	SF_Rest	Meso	Ref	d1	9/21/17	11.39901378	12.6	18.1	16590	8.803010863	-0.000115774	1.440165377	-0.025984287	-2.84E-06	0.216067245	120177	s050_RushOxbow_ThreeSqC_D1	38.198971	-122.026955	30.3	6.86	268.03	507	16.16	9.37	0.781	8.73	NA	42.25	13.3	0.14	NA	NA	NA	NA	50	s050_RushOxbow_ThreeSqC_D1	s050	W61	11.4	4101.8545	571.8495	22.46	NA	0.856	0.028	NA	14.1565	0.558	1900576.33	240175.85	130227.8	59206.06	2116.04	54.17	87.02	20.55	15423	0.87	21.41	29.8
104	RushOxbow_ThreeSqC_D2	RushOxbow_ThreeSqC_D2	37.770749	-122.378031	9/21/13	1048061	3300004052	Ga0055490	Gp0101375	135	RushRanch_oxbow	RushRanch	ThreeSq	SF_Rest	Meso	Ref	d2	9/21/17	11.39901378	12.6	18.1	16590	8.803010863	-0.000115774	1.440165377	-0.025984287	-2.84E-06	0.216067245	120177	s135_RushOxbow_ThreeSqC_D2	38.198971	-122.026955	35.4	6.57	231.25	451.3	12.98	7.53	0.56	6.52	NA	31.34	17.7	0.121	139	1912	48560	48	135	s135_RushOxbow_ThreeSqC_D2	s135	W61	11.4	4101.8545	571.8495	22.46	NA	0.856	0.028	NA	14.1565	0.558	1900576.33	240175.85	130227.8	59206.06	2116.04	54.17	87.02	20.55	15423	0.87	21.41	29.8
105	Joice_CattailNLA_D1	Joice_CattailNLA_D1	38.1955	-122.002	9/25/13	1072535	3300014307	Ga0075304	Gp0116070	51	Joice	Joice	CattailNL	SF_Ref	Meso	Ref	d1	9/25/17	15.22993672	9	17.1	21167	136.8936375	0.046583787	22.39568711	10.45521409	0.001143385	3.360013021	123796	s051_Joice_CattailNLA_D1	38.197102	-122.010033	15.1	6.93	355.59	637.5	33.8	19.6	1.368	19.19	NA	158.57	22.9	0.14	NA	NA	NA	NA	51	s051_Joice_CattailNLA_D1	s051	W68	15.23	3860.8835	420.184	36.95	NA	NA	1.179666667	NA	12.256	0.57	1848404.28	234300.34	142634.91	38374.1	2230.46	224.91	2960.88	19.11	17517	0.8	20.22	19.89
106	Joice_CattailNLA_D2	Joice_CattailNLA_D2	37.770749	-122.378031	9/25/13	1047959	3300004014	Ga0055456	Gp0101341	136	Joice	Joice	CattailNL	SF_Ref	Meso	Ref	d2	9/25/17	15.22993672	9	17.1	21167	136.8936375	0.046583787	22.39568711	10.45521409	0.001143385	3.360013021	123796	s136_Joice_CattailNLA_D2	38.197102	-122.010033	18	6.53	339.57	788.5	43.74	25.37	1.262	23.73	0.74	53.72	7.8	0.07	59	384	21930	31	136	s136_Joice_CattailNLA_D2	s136	W68	15.23	3860.8835	420.184	36.95	NA	NA	1.179666667	NA	12.256	0.57	1848404.28	234300.34	142634.91	38374.1	2230.46	224.91	2960.88	19.11	17517	0.8	20.22	19.89
